Date,Water Temp
6/1/2012,9.083255556
6/2/2012,9.453703620638779
6/3/2012,9.81386175078293
6/4/2012,10.163729946432454
6/5/2012,10.503308207587345
6/6/2012,10.832596534247612
6/7/2012,11.151594926413248
6/8/2012,11.460303384084257
6/9/2012,11.758721907260638
6/10/2012,12.046850495942389
6/11/2012,12.324689150129515
6/12/2012,12.592237869822007
6/13/2012,12.849496655019873
6/14/2012,13.09646550572311
6/15/2012,13.333144421931722
6/16/2012,13.559533403645702
6/17/2012,13.775632450865052
6/18/2012,13.981441563589778
6/19/2012,14.176960741819876
6/20/2012,14.362189985555341
6/21/2012,14.537129294796179
6/22/2012,14.701778669542389
6/23/2012,14.856138109793973
6/24/2012,15.000207615550925
6/25/2012,15.13398718681325
6/26/2012,15.257476823580944
6/27/2012,15.370676525854016
6/28/2012,15.473586293632453
6/29/2012,15.566206126916263
6/30/2012,15.648536025705448
7/1/2012,15.72057599
7/2/2012,15.782326019799926
7/3/2012,15.833786115105223
7/4/2012,15.874956275915892
7/5/2012,15.905836502231931
7/6/2012,15.926426794053345
7/7/2012,15.93672715138013
7/8/2012,15.936737574212284
7/9/2012,15.926458062549813
7/10/2012,15.905888616392705
7/11/2012,15.875029235740977
7/12/2012,15.833879920594615
7/13/2012,15.78244067095363
7/14/2012,15.720711486818015
7/15/2012,15.648692368187772
7/16/2012,15.566383315062897
7/17/2012,15.475189101601778
7/18/2012,15.3835383727547
7/19/2012,15.292835902680043
7/20/2012,15.20308169137781
7/21/2012,15.114275738848
7/22/2012,15.026418045090614
7/23/2012,14.939508610105648
7/24/2012,14.853547433893109
7/25/2012,14.76853451645299
7/26/2012,14.684469857785292
7/27/2012,14.60135345789002
7/28/2012,14.519185316767171
7/29/2012,14.437965434416745
7/30/2012,14.35769381083874
7/31/2012,14.278370446033158
8/1/2012,14.19999534
8/2/2012,14.122568492739259
8/3/2012,14.046089904250948
8/4/2012,13.970559574535057
8/5/2012,13.895977503591588
8/6/2012,13.82234369142054
8/7/2012,13.749658138021921
8/8/2012,13.677920843395725
8/9/2012,13.607131807541947
8/10/2012,13.53729103046059
8/11/2012,13.468398512151662
8/12/2012,13.400454252615154
8/13/2012,13.333458251851066
8/14/2012,13.267410509859406
8/15/2012,13.202311026640166
8/16/2012,13.13815980219335
